site_name,,BCD,BNM,Cultural Venue Type,latitude,longitude
Waddington Custot Galleries,,E09000033,City of Westminster,Commercial galleries,51.51011136,-0.141595592
Heartbreak,,E09000033,City of Westminster,Commercial galleries,51.51763338,-0.150960825
Bernard Jacobson Gallery,,E09000033,City of Westminster,Commercial galleries,51.51054821,-0.14192368
St Petersburg Gallery,,E09000033,City of Westminster,Commercial galleries,51.51054821,-0.14192368
Michael Werner Gallery,,E09000033,City of Westminster,Commercial galleries,51.511356,-0.156071866
Workplace Gallery,,E09000033,City of Westminster,Commercial galleries,51.51268978,-0.140870885
Paradise Row,,E09000033,City of Westminster,Commercial galleries,51.51762902,-0.135913155
Edel Assanti,,E09000033,City of Westminster,Commercial galleries,51.51762902,-0.135913155
Rook & Raven,,E09000033,City of Westminster,Commercial galleries,51.51682808,-0.133048779
Partners & Mucciaccia,,E09000033,City of Westminster,Commercial galleries,51.50785747,-0.141802637
James Hyman Fine Art,,E09000033,City of Westminster,Commercial galleries,51.51060475,-0.139817308
Hauser & Wirth 2,,E09000033,City of Westminster,Commercial galleries,51.51199619,-0.140798254
Great Western Studios,,E09000033,City of Westminster,Commercial galleries,51.52119908,-0.196309171
Aktis Gallery,,E09000033,City of Westminster,Commercial galleries,51.5062544,-0.139951351
Chris Beetles Photographs,,E09000033,City of Westminster,Commercial galleries,51.50919945,-0.137408568
Courtauld Institute of Art,,E09000033,City of Westminster,Commercial galleries,51.51092609,-0.117682481
"Pertwee,  Anderson & Gold",,E09000033,City of Westminster,Commercial galleries,51.51396457,-0.132243519
David Gill,,E09000033,City of Westminster,Commercial galleries,51.50677281,-0.13691849
Whitfield Fine Art,,E09000033,City of Westminster,Commercial galleries,51.51425616,-0.145519992
Thomas Dane Gallery,,E09000033,City of Westminster,Commercial galleries,51.50732231,-0.137544531
Victoria Miro Gallery II,,E09000033,City of Westminster,Commercial galleries,51.51289557,-0.143644049
Alison Jacques Gallery,,E09000033,City of Westminster,Commercial galleries,51.51747733,-0.136553551
Fold,,E09000033,City of Westminster,Commercial galleries,51.52053573,-0.139441298
Annely Juda Fine Art,,E09000033,City of Westminster,Commercial galleries,51.51425616,-0.145519992
Gagosian Gallery 2,,E09000033,City of Westminster,Commercial galleries,51.51105386,-0.147739782
Pace London 1,,E09000033,City of Westminster,Commercial galleries,51.50966523,-0.140114997
Asia House,,E09000033,City of Westminster,Commercial galleries,51.51970782,-0.146220948
Lisson Gallery 2,,E09000033,City of Westminster,Commercial galleries,51.52090312,-0.169653853
Rossi & Rossi,,E09000033,City of Westminster,Commercial galleries,51.50680169,-0.138171002
Fiumano Fine Art,,E09000033,City of Westminster,Commercial galleries,51.51443527,-0.165488599
Ambika P3,,E09000033,City of Westminster,Commercial galleries,51.52202475,-0.154574012
The Sherlock Holmes Museum,,E09000033,City of Westminster,Commercial galleries,51.52375095,-0.158554959
John Adams Fine Art,,E09000033,City of Westminster,Commercial galleries,51.49096854,-0.153149603
Eleven,,E09000033,City of Westminster,Commercial galleries,51.4943403,-0.147985498
The Osborne Studio Gallery,,E09000033,City of Westminster,Commercial galleries,51.49920604,-0.156591351
La Galleria,,E09000033,City of Westminster,Commercial galleries,51.50769985,-0.131880201
GRAD,,E09000033,City of Westminster,Commercial galleries,51.5174344,-0.140648764
Stephen Wiltshire Gallery,,E09000033,City of Westminster,Commercial galleries,51.50769851,-0.132072493
Panter and Hall,,E09000033,City of Westminster,Commercial galleries,51.50712873,-0.133286966
Alan Cristea Gallery,,E09000033,City of Westminster,Commercial galleries,51.50608666,-0.136182761
Institute of Contemporary Arts - ICA,,E09000033,City of Westminster,Commercial galleries,51.50641041,-0.131097181
Malcolm Fairley,,E09000033,City of Westminster,Commercial galleries,51.50637032,-0.138188595
Paisnel Gallery,,E09000033,City of Westminster,Commercial galleries,51.50675652,-0.138158434
Sladmore,,E09000033,City of Westminster,Commercial galleries,51.50775849,-0.139529801
Chris Beetles,,E09000033,City of Westminster,Commercial galleries,51.50712682,-0.138258614
Two Temple Place,,E09000033,City of Westminster,Commercial galleries,51.51160271,-0.112221343
Atlas Gallery,,E09000033,City of Westminster,Commercial galleries,51.51950107,-0.155353549
Fashion Space Gallery,,E09000033,City of Westminster,Commercial galleries,51.51564146,-0.14327292
Hay Hill Gallery,,E09000033,City of Westminster,Commercial galleries,51.51795248,-0.155881858
A&D Gallery,,E09000033,City of Westminster,Commercial galleries,51.51997338,-0.155651571
Hellenic Centre,,E09000033,City of Westminster,Commercial galleries,51.52095673,-0.153564938
RIBA Architecture Gallery,,E09000033,City of Westminster,Commercial galleries,51.52132272,-0.14484359
Pi Artworks,,E09000033,City of Westminster,Commercial galleries,51.51641393,-0.138110367
Pilar Corrias,,E09000033,City of Westminster,Commercial galleries,51.51640632,-0.138197157
Art First,,E09000033,City of Westminster,Commercial galleries,51.51681629,-0.13796423
Nancy Victor,,E09000033,City of Westminster,Commercial galleries,51.51880052,-0.136067097
Gallery Libby Sellers,,E09000033,City of Westminster,Commercial galleries,51.51821413,-0.137647743
Ronchini Gallery,,E09000033,City of Westminster,Commercial galleries,51.51425616,-0.145519992
Hauser & Wirth 1,,E09000033,City of Westminster,Commercial galleries,51.5087478,-0.137270207
Anthony Reynolds Gallery,,E09000033,City of Westminster,Commercial galleries,51.51460078,-0.137189863
Flowers Gallery Central,,E09000033,City of Westminster,Commercial galleries,51.51013841,-0.141032451
Erskine Hall & Coe,,E09000033,City of Westminster,Commercial galleries,51.50907832,-0.141666472
David Zwimer,,E09000033,City of Westminster,Commercial galleries,51.50947721,-0.143004874
Colnaghi,,E09000033,City of Westminster,Commercial galleries,51.50906097,-0.140571946
Gazelli Art House,,E09000033,City of Westminster,Commercial galleries,51.50832538,-0.142388839
SprÃ¼th Magers,,E09000033,City of Westminster,Commercial galleries,51.50999256,-0.143747704
D-Contemporary,,E09000033,City of Westminster,Commercial galleries,51.50954103,-0.143059922
Erarta Galleries,,E09000033,City of Westminster,Commercial galleries,51.50790733,-0.142679652
Sladmore Contemporary,,E09000033,City of Westminster,Commercial galleries,51.5110576,-0.145131136
Lefevre Fine Art,,E09000033,City of Westminster,Commercial galleries,51.51063567,-0.145177105
Sophia Contemporary,,E09000033,City of Westminster,Commercial galleries,51.51216425,-0.145734698
The Fine Art Society,,E09000033,City of Westminster,Commercial galleries,51.5112703,-0.143796621
Gimpel Fils,,E09000033,City of Westminster,Commercial galleries,51.51195324,-0.147746518
Gallery Elena Shchukina,,E09000033,City of Westminster,Commercial galleries,51.51214754,-0.154368108
Sadie Coles Gallery,,E09000033,City of Westminster,Commercial galleries,51.50856894,-0.151544186
Hamiltons Gallery,,E09000033,City of Westminster,Commercial galleries,51.51063008,-0.149947516
Galeries Bartoux,,E09000033,City of Westminster,Commercial galleries,51.51354722,-0.146182942
Salon Contemporary,,E09000033,City of Westminster,Commercial galleries,51.51536058,-0.1932394
Thomas & Paul,,E09000033,City of Westminster,Commercial galleries,51.52307135,-0.185928234
ContiniArtUK,,E09000033,City of Westminster,Commercial galleries,51.51346497,-0.146099809
Max Wigram Gallery,,E09000033,City of Westminster,Commercial galleries,51.51346497,-0.146099809
Timothy Taylor Gallery,,E09000033,City of Westminster,Commercial galleries,51.51060175,-0.149862196
Bischoff/Weiss,,E09000033,City of Westminster,Commercial galleries,51.50901071,-0.143643522
Space Station 65,,E09000022,Lambeth,Commercial galleries,51.48652548,-0.110765725
Amstel Art Gallery,,E09000022,Lambeth,Commercial galleries,51.48535773,-0.126542629
Newport Street,,E09000022,Lambeth,Commercial galleries,51.49343134,-0.116977363
Danielle Arnaud,,E09000022,Lambeth,Commercial galleries,51.49480273,-0.110452307
Caroline Wiseman,,E09000022,Lambeth,Commercial galleries,51.4765788,-0.126412499
Morley College Gallery,,E09000022,Lambeth,Commercial galleries,51.49787916,-0.109950429
Gasworks Gallery,,E09000022,Lambeth,Commercial galleries,51.48513475,-0.115432308
Photofusion Gallery,,E09000022,Lambeth,Commercial galleries,51.46187314,-0.113914084
Brixton Art Gallery,,E09000022,Lambeth,Commercial galleries,51.46382046,-0.113099589
Brocket Gallery,,E09000022,Lambeth,Commercial galleries,51.48701893,-0.111811231
Orso Major Gallery,,E09000022,Lambeth,Commercial galleries,51.50059923,-0.113007679
Man & Eve,,E09000022,Lambeth,Commercial galleries,51.50080871,-0.113171923
Clapham Art Gallery,,E09000022,Lambeth,Commercial galleries,51.46264962,-0.138298146
CGP London,,E09000028,Southwark,Commercial galleries,51.49414758,-0.053905699
Purdy Hicks,,E09000028,Southwark,Commercial galleries,51.50747223,-0.102016601
Vibe Gallery,,E09000028,Southwark,Commercial galleries,51.49476219,-0.062235321
Unit 24,,E09000028,Southwark,Commercial galleries,51.5059395,-0.097887005
Vitrine,,E09000028,Southwark,Commercial galleries,51.49739118,-0.080751241
Horatio Jr,,E09000028,Southwark,Commercial galleries,51.50114981,-0.049522671
The Sunday Painter,,E09000028,Southwark,Commercial galleries,51.46973316,-0.069199646
Son Gallery,,E09000028,Southwark,Commercial galleries,51.4700081,-0.065739309
ASC Gallery,,E09000028,Southwark,Commercial galleries,51.48835522,-0.086620188
The Sassoon Gallery,,E09000028,Southwark,Commercial galleries,51.46949,-0.070133997
Borough Road Gallery,,E09000028,Southwark,Commercial galleries,51.49870595,-0.101742554
Poppy Sebire,,E09000028,Southwark,Commercial galleries,51.50316867,-0.097267571
White Cube,,E09000028,Southwark,Commercial galleries,51.49945047,-0.082654309
Flat Time House,,E09000028,Southwark,Commercial galleries,51.46610076,-0.074161665
Arch Collective,,E09000028,Southwark,Commercial galleries,51.49212361,-0.059293261
South London Gallery,,E09000028,Southwark,Commercial galleries,51.47428603,-0.079749723
Menier Gallery,,E09000028,Southwark,Commercial galleries,51.50462957,-0.09419508
Jerwood Space Gallery,,E09000028,Southwark,Commercial galleries,51.50361171,-0.099079087
Hannah Barry Gallery,,E09000028,Southwark,Commercial galleries,51.4700081,-0.065739309
The Wapping Project Bankside,,E09000028,Southwark,Commercial galleries,51.50744783,-0.10217613
Bethlem Gallery,,E09000006,Bromley,Commercial galleries,51.38092833,-0.029725744
Flowers Gallery East,,E09000012,Hackney,Commercial galleries,51.52964763,-0.077146421
Parasol unit,,E09000012,Hackney,Commercial galleries,51.53037712,-0.095008949
Five Years,,E09000012,Hackney,Commercial galleries,51.53550144,-0.060216231
Rocket Gallery,,E09000012,Hackney,Commercial galleries,51.5240737,-0.076689415
Hoxton Art Gallery,,E09000012,Hackney,Commercial galleries,51.5263039,-0.081078945
Galerie8,,E09000012,Hackney,Commercial galleries,51.5435943,-0.057088404
The Proud Archivist,,E09000012,Hackney,Commercial galleries,51.53726349,-0.078707127
Charlie Smith,,E09000012,Hackney,Commercial galleries,51.52658861,-0.081441801
Unit G Gallery,,E09000012,Hackney,Commercial galleries,51.5440454,-0.047626972
BSMT Space,,E09000012,Hackney,Commercial galleries,51.55077849,-0.075404508
ICN,,E09000012,Hackney,Commercial galleries,51.52458741,-0.081690309
Blackhall Studios,,E09000012,Hackney,Commercial galleries,51.52485061,-0.082942094
Galleries Goldstein,,E09000012,Hackney,Commercial galleries,51.52722306,-0.082294545
CNB Gallery,,E09000012,Hackney,Commercial galleries,51.52585432,-0.081631266
Red Gallery,,E09000012,Hackney,Commercial galleries,51.52616876,-0.083261528
Signal Gallery,,E09000012,Hackney,Commercial galleries,51.52355483,-0.083991227
The Residence,,E09000012,Hackney,Commercial galleries,51.53832806,-0.044147102
Mercer Chance,,E09000012,Hackney,Commercial galleries,51.53387568,-0.08052964
Daniel Blau,,E09000012,Hackney,Commercial galleries,51.52717303,-0.081660433
Waterside Contemporary,,E09000012,Hackney,Commercial galleries,51.53202047,-0.085308127
Standpoint,,E09000012,Hackney,Commercial galleries,51.5270715,-0.081825162
The Invisible Line,,E09000012,Hackney,Commercial galleries,51.5478583,-0.068993965
Fishbar,,E09000012,Hackney,Commercial galleries,51.54819852,-0.065085244
Rowing,,E09000012,Hackney,Commercial galleries,51.55802901,-0.072271178
Andor Gallery,,E09000012,Hackney,Commercial galleries,51.53132194,-0.070140669
Victoria Miro Gallery I,,E09000012,Hackney,Commercial galleries,51.53032897,-0.094995244
Royal Observatory,,E09000011,Greenwich,Commercial galleries,51.47734717,-0.000849719
Paul McPherson Gallery,,E09000011,Greenwich,Commercial galleries,51.48470111,0.001864669
Greenwich Printmakers Gallery,,E09000011,Greenwich,Commercial galleries,51.48137273,-0.009169154
Old Royal Naval College,,E09000011,Greenwich,Commercial galleries,51.48287141,-0.008778187
Narenj Art Gallery,,E09000014,Haringey,Commercial galleries,51.59835398,-0.138659381
Highgate Contemporary Art,,E09000014,Haringey,Commercial galleries,51.57061838,-0.14643011
Blackheath Gallery,,E09000023,Lewisham,Commercial galleries,51.46639637,0.008952852
Bearspace,,E09000023,Lewisham,Commercial galleries,51.4794964,-0.025841547
The Stone Space,,E09000031,Waltham Forest,Commercial galleries,51.56820256,0.010611115
Cresswood Tenants Hall,,E09000007,Camden,Community centres,51.55120028,-0.148503241
Bayham Place Tenants Association Hall,,E09000007,Camden,Community centres,51.53610467,-0.137335425
Sycamore Community Hall,,E09000007,Camden,Community centres,51.53970996,-0.191899768
Godwin & Crowndale Community Hall,,E09000007,Camden,Community centres,51.53482093,-0.135210575
Whittington Court TRA Hall,,E09000007,Camden,Community centres,51.56571411,-0.141666009
Bacton Tower TA Room,,E09000007,Camden,Community centres,51.5520907,-0.154222457
St Pancras Community Centre,,E09000007,Camden,Community centres,51.53650816,-0.137261267
Queens Crescent Community Association,,E09000007,Camden,Community centres,51.55084417,-0.151013071
Coopers Lane Community Centre,,E09000007,Camden,Community centres,51.53299263,-0.129950483
1A Arts Community Centre ,,E09000007,Camden,Community centres,51.52244749,-0.112190739
Somali Community Centre,,E09000007,Camden,Community centres,51.55322562,-0.154912179
South Hampstead and Kilburn Partnership (SHAK),,E09000007,Camden,Community centres,51.53997154,-0.181477716
Peckwater TA Hall,,E09000007,Camden,Community centres,51.54994314,-0.136120957
Blashford TA Room,,E09000007,Camden,Community centres,51.54339843,-0.161900558
Camden Society,,E09000007,Camden,Community centres,51.53890121,-0.140725343
Bedefield Community Room,,E09000007,Camden,Community centres,51.52833968,-0.12127475
Ethiopian Community in Britain,,E09000007,Camden,Community centres,51.54912269,-0.184747406
Hilgrove Estate TA Room,,E09000007,Camden,Community centres,51.54227453,-0.177477672
Cockpit Arts / Action Space,,E09000007,Camden,Community centres,51.52143692,-0.116456103
Grafton Way TRA Room,,E09000007,Camden,Community centres,51.52418475,-0.136481428
Camden People's Theatre,,E09000007,Camden,Community centres,51.52640081,-0.138423622
Fellows Road Tenant Association,,E09000007,Camden,Community centres,51.54348908,-0.169425058
Gospel Oak 7 and 8 TRA Hall ,,E09000007,Camden,Community centres,51.55143422,-0.151364175
Kingsland TA Room,,E09000007,Camden,Community centres,51.5374977,-0.164099505
St Albans Villas and Oak Court TRA Hall,,E09000007,Camden,Community centres,51.56117709,-0.14990144
Winchester Project ,,E09000007,Camden,Community centres,51.54330439,-0.172576401
Doreen Bazell Hall,,E09000007,Camden,Community centres,51.53383988,-0.130636684
Maiden Lane Community Centre,,E09000007,Camden,Community centres,51.54133776,-0.128815102
Swiss Cottage Community Centre,,E09000007,Camden,Community centres,51.5430768,-0.172398041
Kentish Town Community Centre,,E09000007,Camden,Community centres,51.5485436,-0.132370399
Highgate Newtown Community Centre,,E09000007,Camden,Community centres,51.56273332,-0.143100456
Kingsgate Resource Centre,,E09000007,Camden,Community centres,51.5452686,-0.197823205
Bengali Workers Community Centre,,E09000007,Camden,Community centres,51.52831358,-0.138821331
Holly Lodge Community Centre,,E09000007,Camden,Community centres,51.56464951,-0.148274381
Sidings Community Centre,,E09000007,Camden,Community centres,51.54903594,-0.198957964
Abbey Community Centre,,E09000007,Camden,Community centres,51.53948042,-0.188678692
Camden Chinese Community Centre,,E09000007,Camden,Community centres,51.52536339,-0.126918671
Ingestre Road Community Centre,,E09000007,Camden,Community centres,51.55542878,-0.142936343
Hampstead Community Centre,,E09000007,Camden,Community centres,51.55552162,-0.176385517
Castlehaven Community Centre,,E09000007,Camden,Community centres,51.54277566,-0.145182256
Covent Garden Dragon Hall Trust,,E09000007,Camden,Community centres,51.5166264,-0.122665011
Ampthill Square Tenants Hall,,E09000007,Camden,Community centres,51.53102182,-0.137211374
St Pancras Community Centre,,E09000007,Camden,Community centres,51.55109143,-0.199295075
Kingsgate Community Centre,,E09000007,Camden,Community centres,51.54428195,-0.196232523
Great Ormond St TRA Hall,,E09000007,Camden,Community centres,51.52234906,-0.118378911
Grays Inn Community Centre,,E09000007,Camden,Community centres,51.52214402,-0.11233303
Casa De Mozambique in UK,,E09000007,Camden,Community centres,51.54141364,-0.126807447
Community Learning Centre (SHELL),,E09000007,Camden,Community centres,51.5392509,-0.182559147
Marchmont Community Centre,,E09000007,Camden,Community centres,51.52533463,-0.125117842
Jim Faulkner Community Room,,E09000007,Camden,Community centres,51.55735182,-0.14228095
Chadswell Healthy Living Centre,,E09000007,Camden,Community centres,51.52762328,-0.122025093
St Eugene De Mazenod Community Centre,,E09000007,Camden,Community centres,51.54097006,-0.193724514
O2 Centre Community Venue,,E09000007,Camden,Community centres,51.54794686,-0.181404788
Barnfield & Woodfield Tenants Association Room,,E09000007,Camden,Community centres,51.55091319,-0.159982072
Athlone Hall,,E09000007,Camden,Community centres,51.54807887,-0.148442502
Tresham Tenants Association Room,,E09000007,Camden,Community centres,51.51966614,-0.118186837
Bray TRA Hall,,E09000007,Camden,Community centres,51.54359483,-0.16640666
Una House TRA,,E09000007,Camden,Community centres,51.54670697,-0.143003133
Dudley Court TA Room,,E09000007,Camden,Community centres,51.51511246,-0.124716264
Derby Lodge Tenants Association Hall,,E09000007,Camden,Community centres,51.53002354,-0.117485669
Calthorpe Project,,E09000007,Camden,Community centres,51.52683808,-0.11791986
Falcon Tenants Association Room,,E09000007,Camden,Community centres,51.52010959,-0.121166756
"Kennistoun, Willingham, Rosemary & Margaret TA Hall",,E09000007,Camden,Community centres,51.55135957,-0.136409228
Torriano Project / Torriano Meeting House Ltd,,E09000007,Camden,Community centres,51.55127482,-0.133340324
Kenbrook TRA Hall,,E09000007,Camden,Community centres,51.55041951,-0.135538944
Working Men's College,,E09000007,Camden,Community centres,51.55018854,-0.13628401
The Kosmos Centre (Camden Cypriot Women's Organisation),,E09000007,Camden,Community centres,51.55202959,-0.140665915
Queens Crescent Community Association,,E09000007,Camden,Community centres,51.54842303,-0.137798522
Lissenden Gardens TA Room,,E09000007,Camden,Community centres,51.55762234,-0.148588636
"Brunswick TA Hall, Unit 10",,E09000007,Camden,Community centres,51.524618,-0.124167013
Medway Court Tenants Association Room,,E09000007,Camden,Community centres,51.5269177,-0.124577039
Somerton House Tenants Association Room,,E09000007,Camden,Community centres,51.52773514,-0.12902707
Sidmouth Street Tenants Association Room ,,E09000007,Camden,Community centres,51.52741399,-0.119626112
Kings Cross Brunswick NA ,,E09000007,Camden,Community centres,51.52876091,-0.121185318
Winston House TRA Room,,E09000007,Camden,Community centres,51.52582318,-0.130374106
Gordon Mansions Tenants Association Room,,E09000007,Camden,Community centres,51.52218531,-0.134026036
Holborn Community Association,,E09000007,Camden,Community centres,51.51977608,-0.136906522
Mortimer Crescent Tenants Hall,,E09000007,Camden,Community centres,51.53659111,-0.188505072
Sidney Boyd Court Tenants Hall,,E09000007,Camden,Community centres,51.54219341,-0.192580028
Queens Crescent Community Association,,E09000007,Camden,Community centres,51.55024237,-0.151628857
Kiln Place TRA Hall,,E09000007,Camden,Community centres,51.55399343,-0.151130579
Barrington Court Tenants Association Room,,E09000007,Camden,Community centres,51.55327717,-0.152472289
Talacre Action Group,,E09000007,Camden,Community centres,51.54753806,-0.147224083
Denyer House TRA Room,,E09000007,Camden,Community centres,51.55635824,-0.144845972
Arkwright Mansions Tenants Room,,E09000007,Camden,Community centres,51.55073898,-0.1828512
Beaumont Walk Tenants Association Room,,E09000007,Camden,Community centres,51.54405569,-0.157936874
Primrose Hill Court TRA Room,,E09000007,Camden,Community centres,51.5423679,-0.159836574
Constable House Tenants Hall,,E09000007,Camden,Community centres,51.54429436,-0.156528297
Taplow TA Room,,E09000007,Camden,Community centres,51.54270632,-0.171129376
Burgh House Trust,,E09000007,Camden,Community centres,51.5581809,-0.175067339
St Christophers Fellowship,,E09000007,Camden,Community centres,51.55239253,-0.209687052
Templar House Tenants Hall,,E09000007,Camden,Community centres,51.54839458,-0.204637205
Agar Grove Tenant Management Co-operative,,E09000007,Camden,Community centres,51.54188431,-0.133205592
Camden Square TA Hall,,E09000007,Camden,Community centres,51.54572062,-0.126774722
Primrose Hill Community Centre,,E09000007,Camden,Community centres,51.54012177,-0.155384698
Three Fields TA Hall,,E09000007,Camden,Community centres,51.53577856,-0.141155452
Regents Park TA Room,,E09000007,Camden,Community centres,51.52969999,-0.144027131
West Euston Partnership ,,E09000007,Camden,Community centres,51.52950584,-0.141987763
Samuel Lithgow Youth Centre (London Youth),,E09000007,Camden,Community centres,51.52688412,-0.141114214
Churchway Tenants Association Room,,E09000007,Camden,Community centres,51.52876923,-0.130714719
Training Link ,,E09000007,Camden,Community centres,51.53113484,-0.130747541
Camden People First,,E09000007,Camden,Community centres,51.53254753,-0.137019301
Lauderdale House Society,,E09000007,Camden,Community centres,51.56930181,-0.143352346
Bourne Estate Tenants Association Hall,,E09000007,Camden,Community centres,51.52243873,-0.112205516
Langdon House Tenants Association Hall,,E09000007,Camden,Community centres,51.52097568,-0.109584906
Gamages Tenants Hall,,E09000007,Camden,Community centres,51.51902108,-0.108829859
Hillview Community Centre,,E09000007,Camden,Community centres,51.52807747,-0.122871413
Covent Garden Community Centre,,E09000007,Camden,Community centres,51.51373492,-0.125738498
Basil Jellicoe Hall,,E09000007,Camden,Community centres,51.52960264,-0.131660953
NEQ Community Room,,E09000007,Camden,Community centres,51.52619816,-0.139253623
Sparrow Farm Community Centre,,E09000018,Hounslow,Community centres,51.45210337,-0.397022824
Mission Hall Community Centre,,E09000018,Hounslow,Community centres,51.48767335,-0.298685873
Oriel Community Centre,,E09000018,Hounslow,Community centres,51.43460896,-0.388538231
Rose Community Hall & MUGA,,E09000018,Hounslow,Community centres,51.48062474,-0.319136388
Moulton Avenue Community Centre,,E09000018,Hounslow,Community centres,51.47592042,-0.382143981
Dukes Meadow Community Centre,,E09000018,Hounslow,Community centres,51.4806892,-0.257017049
Alf Chandler Centre,,E09000018,Hounslow,Community centres,51.46563509,-0.372843359
Clayponds Community Centre,,E09000018,Hounslow,Community centres,51.49526777,-0.304473897
Brickfield Community Centre,,E09000018,Hounslow,Community centres,51.48245925,-0.314724534
Gunnersbury Close,,E09000018,Hounslow,Community centres,51.49222134,-0.273168882
Heston Farm,,E09000018,Hounslow,Community centres,51.48831064,-0.368805405
ROWE Community Centre,,E09000018,Hounslow,Community centres,51.47016839,-0.339171993
Brabazon Community Centre,,E09000018,Hounslow,Community centres,51.48150031,-0.395888943
Hogarth Meeting room ,,E09000018,Hounslow,Community centres,51.48806708,-0.256957026
Bedfont Lane Community Centre,,E09000018,Hounslow,Community centres,51.44871637,-0.414227695
The Bridgelink Centre,,E09000018,Hounslow,Community centres,51.45876035,-0.331737314
The Hub Community Centre,,E09000018,Hounslow,Community centres,51.47013035,-0.396359595
Convent Way Community Centre,,E09000018,Hounslow,Community centres,51.49541865,-0.394691848
Belvedere House,,E09000018,Hounslow,Community centres,51.44571805,-0.413422611
Hartlands Community Centre,,E09000018,Hounslow,Community centres,51.49075194,-0.408460758
Hunter House,,E09000018,Hounslow,Community centres,51.44643768,-0.414113904
Grassroots Community Centre,,E09000025,Newham,Community centres,51.52695254,0.008508494
Woodgrange Community Centre,,E09000025,Newham,Community centres,51.54847026,0.047111777
Paul Street Community Centre,,E09000025,Newham,Community centres,51.53814299,0.005190892
Vicarage Lane Community Centre,,E09000025,Newham,Community centres,51.5391402,0.010498118
Queens Road West Community Centre,,E09000025,Newham,Community centres,51.53287532,0.02546228
Trinity Community Centre,,E09000025,Newham,Community centres,51.51634132,0.015331392
Jack Cornwell Community Centre,,E09000025,Newham,Community centres,51.55247924,0.06210601
Jeyes Community Centre,,E09000025,Newham,Community centres,51.53074675,0.022181513
Chandos Community Centre,,E09000025,Newham,Community centres,51.51756134,0.011320629
Forest Lane Lodge,,E09000025,Newham,Community centres,51.54842771,0.016893135
Beckton Community Centre,,E09000025,Newham,Community centres,51.51032892,0.063185624
The Well Community Centre,,E09000025,Newham,Community centres,51.52703438,0.062859475
Old Town Hall,,E09000025,Newham,Community centres,51.54047431,0.001904506
Froud Centre,,E09000025,Newham,Community centres,51.55404545,0.055872949
Flanders Community Centre,,E09000025,Newham,Community centres,51.53067498,0.061409186
Ascot Community Centre,,E09000025,Newham,Community centres,51.51950341,0.011867451
Cundy Community Centre,,E09000025,Newham,Community centres,51.51285438,0.027182699
Woodman Community Centre,,E09000025,Newham,Community centres,51.50150131,0.067584873
Slade Centre,,E09000011,Greenwich,Community centres,51.47877782,0.08505665
Charlton House,,E09000011,Greenwich,Community centres,51.48067469,0.037132392
St Marys Community Centre,,E09000011,Greenwich,Community centres,51.4505783,0.057091237
Invicta Hall,,E09000011,Greenwich,Community centres,51.48671548,0.093520474
Knee Hill Community Hall,,E09000011,Greenwich,Community centres,51.48939304,0.121056358
Anstridge Community Hall,,E09000011,Greenwich,Community centres,51.44778136,0.082668097
Orchard Community Hall,,E09000011,Greenwich,Community centres,51.46900342,-0.013487556
Triangle Community Centre,,E09000011,Greenwich,Community centres,51.48712447,0.008452631
Coldharbour Hall,,E09000011,Greenwich,Community centres,51.43088886,0.058343532
Flintmill Meeting Rooms,,E09000011,Greenwich,Community centres,51.46444128,0.045951165
Woolwich Public Hall,,E09000011,Greenwich,Community centres,51.48975749,0.064622137
Barnfield HUb,,E09000011,Greenwich,Community centres,51.48052983,0.0718765
Flintmill Hall,,E09000011,Greenwich,Community centres,51.46447933,0.045863027
Woolwich Common Community Centre,,E09000011,Greenwich,Community centres,51.48030569,0.062449124
Lionel Road Community Hall,,E09000011,Greenwich,Community centres,51.45506217,0.039771302
Greenwich West Community and Arts Centre,,E09000011,Greenwich,Community centres,51.47727232,-0.016087402
Horn Park Community Centre,,E09000011,Greenwich,Community centres,51.44682907,0.026659241
Progress Hall,,E09000011,Greenwich,Community centres,51.45871619,0.051557105
Charlton Community Centre,,E09000011,Greenwich,Community centres,51.4818984,0.038504662
C2K Community Centre,,E09000011,Greenwich,Community centres,51.49318651,0.109089335
Glyndon Community Centre,,E09000011,Greenwich,Community centres,51.48639552,0.07762917
Middle Park Community Centre and the Joan Currie Hall,,E09000011,Greenwich,Community centres,51.44570578,0.038909983
Clockhouse Community Centre,,E09000011,Greenwich,Community centres,51.49391217,0.05320929
One Space Kidbrooke,,E09000011,Greenwich,Community centres,51.45932784,0.02725585
New Charlton Community Centre,,E09000011,Greenwich,Community centres,51.48909068,0.047115251
Mycenae House,,E09000011,Greenwich,Community centres,51.47964213,0.015991887
Shrewsbury House,,E09000011,Greenwich,Community centres,51.47352715,0.072997227
The Eagle Community Centre,,E09000008,Croydon,Community centres,51.37426987,-0.105260801
Coulsdon Community Centre,,E09000008,Croydon,Community centres,51.32002824,-0.147694607
Shirley Community Centre,,E09000008,Croydon,Community centres,51.36906636,-0.030766608
Selsdon Community Centre,,E09000008,Croydon,Community centres,51.34239125,-0.06245136
Kenley Memorial Home,,E09000008,Croydon,Community centres,51.32514611,-0.099419723
Polish Community Centre,,E09000008,Croydon,Community centres,51.39883261,-0.077333462
Forestdale Residents Association,,E09000008,Croydon,Community centres,51.34656084,-0.042258059
Stanley Halls,,E09000008,Croydon,Community centres,51.40025604,-0.075304115
Croydon Irish Centre,,E09000008,Croydon,Community centres,51.35041237,-0.051586242
